,topics,reflection
4764,"[7, 10]",easy to order and decent prices
4765,"[7, 8]",from ordering to fitting was faultless  very impressed with the service provided 
4766,"[3, 8]",service was quick and efficient  everyone i dealt with were polite and knowledgeable  price for the tyres was excellent 
4767,[8],first rate service  everything arranged took place as per schedule  also ats very professional and friendly 
4768,"[4, 11]",seem to work very well and fitting agent was just around the corner from my home
4769,[11],a friend recommended  and i was impressed that i could get a better tyre with a b and c rating which was cheaper than other places i had looked online 
4770,[4],have always used  and can’t fault them apart from one bad experience of a rubbish garage that couldn’t commit to my online order 
4771,[5],best price i could find for the tyres i wanted
4772,[10],easy to use and good prices 
4773,"[4, 11]",when checking out tyres in the past   have been over priced  however  on a random search  i was pleasantly surprised 
4774,"[8, 10]",efficient and cheap
4775,"[0, 11]",very easy to do  you get a choice of tyre which you do not get generally at the garage  you usually go for their recommendation  i am getting better value for my money 
4776,"[0, 5]",it's quick  easy and cheap 
4777,"[2, 7]",it’s an easy ordering process with lots of choice
4778,[10],good price
4779,"[0, 5]",best prices around  easy to use service 
4780,"[5, 10]",good service and cheap tyres
4781,[1],great prices and great service always
4782,[9],service quite efficient but still took approx 1 hour for 2 tyres 
4783,[2],very easy to use site with good selection of tyres  info and prices to choose from  would use again 
4784,[1],great customer service  polite  efficient and family friendly garage 
4785,"[2, 10]",good service good price  easy to use  good selection of tyres at competitive prices 
4786,[1],fantastic as ever
4787,"[1, 10]",easy  good helpful service at competitive price 
4788,"[3, 7]",very convenient  easy process  good price and good choice of tyres
4789,[9],my tyre was changed 1hour 45 mins after my appointment   plus i turned up 20 mins early  very poor service  stick to independent tyre garages 
4790,"[1, 3]",so happy with this set of tyres  great price great service   👍🏿
4791,[10],good price good service 
4792,"[2, 11]",very quick and intuitive  tyres purchased with confidence  exact matches for my car and delivery to a garage of my choice  prices are very reasonable with a good deal on each day which also changes regularly too website is very easy to navigate with an excellent stock range 
4793,[7],great tyres and speedy service  easy to buy online and get an early booking for fitting  tyres are definitely a lot better than the old ones
4794,"[0, 3, 10]",tyres  good service  reliable and a good price
4795,"[1, 6]",great service and competitive prices  definitely recommend
4796,"[8, 11]", were a delight  moreover was just tyres in aylesbury who did the fitting  the guys were incredibly polite  did a great job and i’ve overlooked them for years  well done just tyres 
4797,"[1, 6]",great service  i just used  for the 3rd time and will continue to do so if prices remain competitive  was previously using tyre shopper and only jumped ship due to price 
4798,[1],so easy and great price
4799,"[3, 6]",excellent choice as always  's budget tyres have proved to be an excellent choice for grip and noise level  prc mot always provide a first class  professional service
4800,[9],after booking you changed the slot from am to pm then the fitter turned up with only half the number of tyres he should have 
4801,"[1, 3]",excellent service and very competitive price for the tyres 
4802,[9],despite using database wrong tyres were delivered and it took another couple of days to sort it out
4803,"[10, 11]",easy to arrange tyre purchase  good range of quality tyres 
4804,[10],quick and easy  good price
4805,[10],a good professional service at a good price
4806,"[2, 5]",quick and easy to use  cheapest tires on the market
4807,"[1, 3, 7]",perfect service and great communication  fitting at my local centre was as scheduled and on time 
4808,[10],good price good service and communication
4809,[8],you was very helpful and the was good
4810,[5],good prices and convenient  so easy
4811,[2],simple process  competitive price  easy to navigate website with lots of information for users regarding tyres 
4812,"[3, 11]",great communication throughout  excellent service when getting tyres fitted 
4813,[0],very good value and service as always 
4814,"[1, 2]",fantastic service and price with a wide range of tyres  all at very competitive prices 
4815,[10],great prices  good service 
4816,"[1, 2]",great prices  great comms  good network of fitting centres across london  and of course a great selection of tyres at multiple price points  which are easy to identify through a great ux 
4817,[1],fast  friendly and competitive prices 
4818,"[8, 10]",good price friendly staff
4819,[10],really simple  really fast  good price and really good staff
4820,"[2, 3]",easy website  good price  good choice of fitters
4821,[11],would have been 10 if tyres were cheaper 
4822,"[3, 10]",great range of tyres at very good prices
4823,"[10, 11]",bought 3 times now no hassle and good prices
4824,"[3, 7]",delivered on time and ready for fitting  good price too 
4825,"[3, 7]",no problem ordering  good communication and great prices
4826,[6],i am extremely happy with the service and price i received from  com
4827,"[2, 8]",easy to use and excellent service from garage
4828,"[4, 7]",straightforward action  book and pay online than take your car to the garage  they complete the rest of task 
4829,[1],great prices and fast service
4830,"[3, 6]",first time i’ve used  and it won’t be the last  everything worked out great and the fitting centre were really professional as well  
4831,[2],excellent price and ease of purchase 
4832,[4],fitter said there was no one in    yet i work from home and he did not come to the door or knock at the door
4833,"[1, 8]",barney provided great service for tyr change  barney provided a quick and professional service and  are competitive in price and lakeside location provides time to do shopping after tyres changedwill use in future
4834,[8],great service from  and garage that fitted my tyres 
4835,"[1, 2, 6]",excellent service easy to use and very reasonable on price  i'll definitely use again 
4836,[11],the service was faultless  my appointment was started on time and the tyres were a lot cheaper than anywhere else 
4837,[2],easy process to follow and faultless fitment makes  an easy recommendation
4838,[3],excellent price and service  absolutely no complaints 
4839,[4],fantastic tyres
4840,[10],always good service at ats 
4841,"[7, 11]",easy to sort the tyres and order  much better value than just buying them 
4842,[11],works well and no frills
4843,[3],great choice and prices  fitted professionally 
4844,"[2, 9]",easy to book  fitting centre ready and waiting  a bit of a pain being allocated instead of being able to book a specific time slot  otherwise great  will use them again 
4845,"[4, 9]",great deal and my tyres fitted on time  fitter very helpful as one of wheel bolts had been previously cross threaded but they managed to get it off and that saved potential damage to my jcw wheels as would have need to be welded off  i was talked through & shown the problem and repercussions etc  highly recommend
4846,[1],great service from the appointed fitter
4847,"[2, 11]",works exactly as advertised  good website and decent value 
4848,[1],flexible service and competitive price
4849,[0],value and service  great value  and great service
4850,[10],spot on  quick  easy  good vfm
4851,[8],great service and the tyre place was lovely too  definitely recommend 
4852,"[8, 10]",good price and hassle free 
4853,[1],great price for great tyres and everything arranged for a quick service 
4854,[0],good value and efficient service 
4855,"[0, 6]",quick easy service  recommended by a friend  it was quick  easy and a lot cheaper than another garage had previously quoted  
4856,"[1, 7]",great service easy to use   ordered tyre thursday fitted at a local garage sat will definitely use again
4857,[2],very competitive pricing; easy to browse selection of tyres before making a choice; simple booking for fitting procedure 
4858,"[0, 3]", com provides excellent service and offers great value for money 
4859,[11],very good service  the tyres i selected were out of stock yet i was able to choose an alternative without too much bother   experience at the fitting garage was convenient  pleasant and trouble free 
4860,"[7, 11]",the process of booking through  com was very easy and went without fault 
4861,[9],fast work  no waiting time
4862,[10],good price and efficient service
4863,[1],great chaps at ats
4864,[1],great service and price  easy and strait forward    will be using again
4865,"[1, 10]",good prices and reliable service 
4866,"[3, 11]",excellent service the tyres are they same as you would purchase from any national tyre supplier but at a fraction of the cost 
4867,"[0, 10]",good value and price
4868,"[4, 5]",been using bc for a number of years  always simple and easy  i like the option to have a mobile fitter visit me rather than driving to a local garage 
4869,"[0, 2]",i have used  several times as they provide a very efficient method of finding tyres to suit your budget 
4870,[7],superb service from ordering online to complete fitment  definitely be using again  
4871,[2],excellent pricing and easy transaction from purchase to fitting 
4872,[3],tyre and fitting and a price very happy 
4873,[3],excellent service  most convenient and good prices 
4874,[6],highly recommend  easy  value  will always use in the future 
4875,[11],cheapest conti sport 5  cheapest conti sport 5255 40 20 £166 on 18th july 2019price is now £200 well just under also tyres were made in 2017
4876,[7],ordering tyres online  the whole process of ordering a tyre was easy and everything was done to my satisfaction 
4877,"[8, 11]",convenient and friendly service  fitted on time by a new local garage that i had not used before 
4878,[0],excellent value for money 
4879,[11],excellent service loads cheaper than anywhere i tried
4880,[7],easy to fine and select  easy to fine  select  compare and order at a competitive price tyres for your car 
4881,"[1, 10]",good quick service and very reasonable in price
4882,[3],excellent quality and price at  
4883,"[8, 9]",outstanding service from a team of good lads  fast turnaround on the work carried out  i even signed up for a loyalty scheme with them 
4884,"[6, 10]",keen prices a good service  i will be definitely using again
4885,"[5, 7]",the best online tyre service i’ve found  returns process is easy 
4886,[0],good value and good service 
4887,"[0, 1]",excellent fast service and great value tyres 
4888,[8],found the service very straightforward and the mechanics helpful and pleasant so would recommend them particularly as they were very competitive on price 
4889,"[3, 5]",efficient and cheap  cheap tyres and a great fitting service at three cross mot
4890,[7],no problems        very efficiently arranged
4891,[10],excellent service at good prices  i will use you again 
4892,"[5, 10]",quick and reasonably priced  convenient and efficient
4893,[1],tip top service at a competitive price
4894,[9],i was told that the garage couldn’t be contacted to confirm the appointment  so i called them myself  granted it took a couple of attempts  left a message with the ats head office  they called me back  tyres fitted  all good  they were great  point being if i’d had left it up to  com protocol i’d have had to wait another 3 days for fitting  rebook  etc  the guys at ats were just too busy to answer the phone 
4895,"[3, 7]",easy purchase  great price  fitted expertly by a great garage 
4896,[8],quick easy and cheap cannot complain
4897,"[1, 7]",great all round  great tyres  price  ease of purchase and appointed garage 
4898,[1],easy  reliable and fantastic customer service - a rarity these days    
4899,[9],would have been 5 stars if not for the pestering emails to write a review 
4900,[9],i booked my fitting date online  turned up on the day  no waiting around  fitted my tyres and off i went  i'll be booking again for my wife's car 
4901,"[2, 4]",easy to use website  nice customer support and the fact that i have made a mistake choosing my tires  and was catched by the after sales process 
4902,[1],good customer service when it counts  i cannot fault   thanks for the smooth service and i will be back 
4903,"[1, 11]",easy to search the tires i needed great customer service wouldn’t bother going anywhere else
4904,"[1, 8]",faultless service with great prices
4905,"[8, 11]",price was better than i could get anywhere garage was amazing staff very helpful and friendly
4906,[7],on time easy  i arrived as required  was duly greeted & the tyres were sorted - quick  easy  smooth & relatively local  excellent 
4907,[10],seamless service  local fitter prompt 
4908,"[1, 4]",excellent customer service especially because i incorrectly ordered the wrong tyres and they helped sort everything out
4909,"[3, 9]", ok but fitting garage very poor
4910,"[1, 5]",best price and great service  best price for tyres on the net  great service from garage that fitted them friendly professional and easy to get to  bus stop and pub opposite 
4911,[3],the service and convenience together with price were excellent  
4912,"[0, 8]",value for money  hassle free 
4913,[1],great service  competitive pricing  great choice of tyres  customer services sorted out an error  on my part  with no fuss 
4914,"[1, 2, 9]",competitive pricing  wide range of tyre choice  excellent customer service  i made an error on the original order  phoned customer service and they sorted my error very quickly and efficiently 
4915,"[1, 7]",great service great prices  great & easy to place order
4916,[11],great deal  got the tyres at a lower rate than the national chain who fitted them were charging 
4917,"[7, 10]",easy process  quick results - very good prices 
4918,[10],ease of use  good prices  good comms
4919,[3],great tyres at very affordable prices 
4920,"[1, 8]",guys at autowise we’re fantastic
4921,[11],always cheaper than your local tyre shop but can be delivered to your local tyre shop 
4922,"[0, 1]",fast efficient and accurate  reasonable value for money
4923,[2],after sesrching for some tyres for my car the ease of using  and booking my car in was excellent   
4924,"[2, 10]",website easy to use  garage helpful and efficient  good price 
4925,[0],value and sevice
4926,[1],the service from  and the garage for fitment was great grills motor factors glasgow
4927,[2],good local partner for fitting and competitive pricing
4928,"[2, 5]",been using  for a good number of years now and i've never had any problems  website is nice and simple to use and the prices and selection are really good  top marks from me 
4929,[2],easy to use plenty of different makes to choose from and you have a time to have them fitted that fits in with most people
4930,"[6, 7]",ordering on line was easy  the tyres were fitted very quickly  i would certainly use them again 
4931,"[9, 10]",great price  easy transaction  local garage appointment on schedule  work carried out professionally 
4932,"[7, 11]",easy to order  competitive price  and fitted on time  what else would you want 
4933,[8],the garage were not very helpful
4934,"[6, 10]",the tyres were competitively priced and the local fitter  g b autos at blackboys was very professional 
4935,"[6, 8]",price was fantastic garage i went to staff were first class
4936,"[4, 11]",good experience but there is room for improvement  when asking the sales team to match the price found on a different website for the same pair of tyres they couldn't do anything but 2 days later same tyre brand had a multibuy deal 
4937,[4],because the garage refused to put the two new tyres i bought on the same axle leaving me with a car that was dangerous to drive 
4938,"[1, 6]",first time with  com but easy and efficient service at a competitive price  will use again 
4939,[5],cheapest price for the tyres i wanted  local fitting arranged
4940,[0],best value for money and very efficient service
4941,[0],very good value and a great service
4942,[8],helpful customer service  quick  easy and hassle free order and fitting 
4943,"[2, 10]",good price and easy to use
4944,[7],the whole process was quick & straightforward 
4945,"[3, 10]",the choice is good  the service is quick and the staff always friendly and happy to chat about tyres  price is good 
4946,[4],very punctual  polite and helpful and did my tyres very quickly  also put my spare tyre back where it came from and left my car very tidy
4947,"[1, 10]",good service  good customer service  and a competitive price 
4948,"[6, 11]",good service  this is third time i have used  com to have the tyres i wanted  fitted when i wanted at a competitive price 
4949,"[3, 5]",best process for quality tyres
4950,"[2, 7]",easy to use site and booking appointments within 2 or 3 days of order 
4951,[9],great price poor timescale  great price  however had to wait 6 days for the tyres to be delivered to my selected garage due to an error  no money off or discount offered for the wait which was down to an error by  
4952,[2],excellent  made choosing the right tyres for my budget very simple and straightforward 
4953,"[4, 5]",easy to order the tyres you wanted & they arrived at the fitting station  at the fitting station i was pursued to have my tracking adjusted  i had to go back 3 times until they got my steering wheel pointing in the right direction
4954,"[2, 11]",cheaper than any other quote and easy arrangements for fitting
4955,"[3, 7]",very easy to place my order  great time slots available  excellent service from the company that fitted my tyres  the price of tyres and fitting was superb 
4956,"[4, 9, 11]",i'm a fairly regular customer and on trying to purchase 2 tyres with 10% off the payable total didn't equate to 10% off so emailed the question and the answer was that the 10% discount was on the tyre  not on the tyre  valve and balance which i thought was an all inclusive price  i'm still a  fan but wish that the information was made clear 
4957,"[5, 9]",price wasn’t actually the cheapest but only found out after ordering
4958,[10],easy to usegood choicegood prices
4959,[2],good price with a wide variety of tyres  local fitting at a time you want
4960,"[2, 7]",easy to order tyres online and pick a time and place to fit  important for anyone living on an island  great choice of all tyre makes 
4961,[3],competitive price and range of good quality tyres
4962,"[4, 11]",mr khan really looked after us at tommy's tyres
4963,[10],easy transaction discounted prices local garage
4964,"[6, 9]",great service  came a day earlier than booked but that was fine with me as i had the tyres i purchased from  com  i've used them twice and never had a problem definitely going to be a regular customer 
4965,"[8, 9]",timely and efficient service  arrived on time and fitted the tyres swiftly and efficiently
4966,"[7, 10]",easy quick  easy to order great service at a good price 
4967,"[9, 10]",great service at a good price and late opening hours really helped me 
4968,[10],spot on  good price  delivery spot on  fitting no problems
4969,[9],i will never be using this thieving company again  they charged me 4 times for 2 tyres  cancelled the order and then only refunded me 3 times  i had to chase them for the refund for a week and a half after just being ignored    i was absolutely livid that they could take that much money from my card without my permission  surely this is fraud     i’m just glad i ordered on a credit card and not from my bank or i may have been arguing about over draft charges too which i’m sure they wouldn’t have cared about 
4970,[9],do not use  i would give no stars if i could  i don’t like leaving bad reviews but i will never be using this thieving company again  they charged me 4 times for 2 tyres  cancelled the order and then only refunded me 3 times  i had to chase them for the refund for a week and a half after just being ignored    i was absolutely livid that they could take that much money from my card without my permission  surely this is fraud     i’m just glad i ordered on a credit card and not from my bank or i may have been arguing about over draft charges too which i’m sure they wouldn’t have cared about 
4971,"[0, 10]",local fitter and value for money 
4972,[2],easy to use website  efficient service  up to date real time notifications 
4973,"[8, 11]",excellent service  i paid extra to have my tyres changed at home which was worth it as it saved a lot of hassle  everything was done quickly and on time so i highly recommend  
4974,[10],prompt delivery to garage and good price
4975,"[1, 7]",easy to order and have delivered straight to fitter - competitive prices  happy with service 
4976,"[2, 7]",straight forward booking process  good choice of local garages  was able to choose a date that suited 
4977,[5],finds you the best deal
4978,"[0, 2]",easy to buy tyres and reasonably priced 
4979,"[1, 2]",efficient easy & competitive prices
4980,"[5, 7]",easy to order specific tyres online and to choose a fitting station of your choice 
4981,[1],great service and great prices
4982,[5],easy  simple to use and great price  use every time 
4983,[9],you pick you tyres and the date for fitting and then just as usual the next day i get an email saying there is a problem and the date is not available
4984,"[1, 10]",really good  honestly a fantastic experience  the garage  were brilliant 
4985,[4],nice  and quick   a bit too expensive
4986,[4],ok on price and convenience but garage wasn't aware i was a bc customer or wanted the free brake and tracking test  tracking was a little out but i'd had it tested at halfords not long before so i was slightly suspicious 
4987,"[1, 3]",great service at express tyres
4988,[6],good experience and a first class fitting service by tyre & exhausts in lincoln  definitely use both again shortly
4989,"[0, 4]",an easy way to buy new tyres and book the fitting with the total cost given up front 
4990,[9],process of booking and price was excellent  however  cash back through quidco has just been declined  having to raise a claim  which is the reason i've reduced the star rating  otherwise it would have been 5 stars 
4991,"[8, 11]",occasionally other online retailers can be cheaper  otherwise great prices for the michelin pilot sport 4s saving 10% if buying 2  i can also use the garage i like down the road 
4992,[9],i experienced poor customer service with this purchase
4993,[7],good price for tyres and easy to order
4994,"[9, 11]",everything was so simple  thought i would have some sort of problem being as i got such a great bargain and a third party fitting  but no it was all great  thank you 
4995,"[2, 5]",great website  unbeatable prices  great fitting 
4996,[2],easy to use website with clear pricing 
4997,"[9, 10]",very good service even though they were very busy 
4998,[7],ease of ordering and booking a fitting date  good prices 
4999,"[2, 11]",under impression that prices are cheaper 
5000,[3],excellent service  brilliant fitting centre 
5001,[8],friendly and professional service  recommended 
5002,"[2, 8]",easy and hassle free  easy to use website  great range of tyres  excellent price and easy to find a local tyre centre to fit them  all in all easy and hassle free 
5003,[9],the tyres were not delivered to the fitter but no information was given about a problem 
5004,"[9, 11]",easy to use and tyre fitted on time on day booked 
5005,[2],easy to use website and good prices 
5006,"[4, 8]",efficient and prompt but  efficiently and promptly replaced 3 tyres  but left at 3 widely-differing pressures  this should definitely not happen  hence not a 5-star service 
5007,"[4, 7, 8]",i was less than impressed with the garage who fitted my tyres
5008,"[7, 11]",the process to order tyres was easy and included the booking for fitment  the price was much better than the high street too 
5009,"[0, 7]",good value  local fiting
5010,"[3, 11]",so much better than the regular tyre/exhaust outlets: you get what you want when you want it at a good price and quality fitting 
5011,[8],particularly because of the great service from m & s tyres
5012,[2],it was easy to compare prices  look at options and book
5013,[7],all went to plan  everything worked perfectly  from selecting the tyres to booking the fitting and the fitting itself  i really appreciated being able to do all the arrangements online and not have to wait at the fitting centre 
5014,[7],easy ordering process and great choice of product at a competitive prices  booking fitting locally always goes smoothly and is done quickly and efficiently 
5015,[3],the process was clear and it all went as detailed  the fitting centre was of a good standard 
5016,"[3, 9]",the online site worked efficiently  broad choice of tyres and good email response to a query  everything worked as it was supposed to which is a reassuring aspect to any service 
5017,[9],delivery was late and fitting was changed from friday to monday  the email i recieved was a bit vague and the dates were hard to understand  this email was recieved thursday evening when fitting was meant to be friday morning thankfully i had not taken time off work 
5018,[10],very good service and good price 
5019,"[3, 5]",good prices  convenient  choice of fitting providers  excellent service
5020,"[3, 7]",easy order through  and excellent fitting service from mcconechy's
5021,"[10, 11]",very easy to use web site  fitting company very good  a good price 
5022,"[7, 8]",nice quick and easy experience  tyres fitted well no issues at all
5023,"[4, 9]",the reason is   i made a mistake about my fitting date and  sorted it out with no problem and my tyres were fitted asap as my needs 
5024,"[7, 9]",very impressed with the price and the fact you can get the fitting of the tyres all booked on line 
5025,[2],pricing was wide ranging  choice of fitment was wide ranging and a choice of fitting centres       what's not to like 
5026,"[4, 9]",no issue with tyres supplied or the service received but our car had its mot the following day and the garage found that  had over-tightened the wheel nuts to the point where they had to break them off and fit four new ones at a cost to us  seeking compensation from  for this unnecessary cost 
5027,[2],prices were competitive & there was a local fiter
5028,[2],very easy to use  choice of local garages 
5029,[10],excellent service and a good price
5030,[10],easy and very local service
5031,[0],the best value for money  the tyre depot is only 250 yards away from where i live and i get great service
5032,"[0, 2, 11]", website was very user-friendly and was the only site that was able to quote me for the unusual size tyres that i needed  they were also great value for money 
5033,[2],good price nice and easy to book
5034,[2],tyres sent to local garage competitive prices
5035,"[0, 1]",great customer experience and good value for money
5036,[4],prompt service with no long queues  car was ready when they said it would be 
5037,[3],good price and well managed process - excellent
5038,[8],value for money  ease of use  scheduling at my convenience  professional and friendly staff  what more could a person want 
5039,"[2, 5]",best price best tyres  convenience local fitting
5040,"[6, 10]",good service  good prices  will definitely use again
5041,[8],excellent experience and value the partner tyre fitting company were very efficient / polite and knowlegeable would highly recommend and use again 
5042,"[1, 7]",excellent service  very easy to order and arrange fitment
5043,[9],very professional from office to workshop and willing to answer any questions 
5044,[1],excellent service  great prices 
5045,"[0, 1]",quick and easy service from start to finish 
5046,"[3, 5]",i found no issues and the price was excellent
5047,"[2, 10]",competitive prices  convenience & good service
5048,"[3, 8]",good price great service   hassle free 
5049,[3],good price and great garage choice
5050,"[1, 7]",brilliant service from online order to fitment 
5051,"[0, 4]",great value tyres  fitter didn’t use correct pressure though
5052,"[3, 7]",easy purchase online and quick service at the fitting centre
5053,"[1, 4]",motorworx  tried one garage   wasn't too impressed by length of wait to get two rear tyres changed  then went to motorworx in anniesland and was really pleased with friendly and efficient service   i will use motorworx again 
5054,[1],great service and price thank you  very happy customer
5055,[1],very professional and reasonable prices
5056,"[5, 11]",it is easy and convenient using   and the price is usually cheaper than if you go to a tyre fitting bag 
5057,[11],after searching locally for a dealer to supply and fit tyres for my mr2  i remembered your site  you were over £300 cheaper 
5058,[9],communication a little lacking  had to chase details the day before fitting then received a generic response
5059,[9],lots of messing around with the fitting dates 
5060,[1],best price and great customer service
5061,[4],wouldn’t use them again for  order   they tried to push for me to buy wheel alignment which i did not need at all   not very good practice from this store
5062,"[1, 10]",really good service  fast and reliable  great price overall
5063,"[0, 2]",good value and excellent website and service 
5064,"[4, 9]",ordered wrong tyres  a quick phone call and the operator couldn’t be more helpful in resolving the issue
5065,[4],good tyres shame about the fitting  good prices and a very wide range of tyres  i have knocked off one star because the fitting place mismatched pressures by 7 psi across the axle i e  illegal and unsafe  fortunately i always check pressures myself but suspect many folks would assume it would be ok after a pair of new tyres had been put on 
5066,[9],very simple and efficient service  would have given a ten but would have liked to know my exact fitting appointment time initially rather than being given just am and then not being sure the exact time until later when i received another email with 9am 
5067,[2],easy to find the tyres i needed & book the fitting close by   so easy   amazing   😀
5068,"[6, 9]",the good bad  having used  many times i know how good the service can be  but on this ocassion the first agreed fitting date was was not completed  when i spoke to your representative who was very obliging finally managed to get a fitting date previously i have recommended you to several family and friends who have actually purchased tyres in the past but now i'm not confident in future recommendations 
5069,[4],second hand tyres do not buy  purchased a set of bridgestone tyres  was looking forward to putting them on a project car  but what i received was some old  dirty tyres with no manufacture markings  if i didn't know any better i'd think they were second hand tyres
5070,"[1, 4, 9]",great friendly service  only thing is the tyre pressure needed checked the next day 
5071,"[3, 10]",excellent service  local fitters 
5072,"[5, 11]",good price on the tyre i wanted  and was able to get local fitting at a convenient time 
5073,[0],very easy saving me as a pensioner a lot of money
5074,[4],very helpful and prompt  i ordered the wrong type of tyre instead of run flat tyres i orderd the normal tyres  i got back in touch with them and they immediatley rectified the promlem  it was no problem them  i am very pleased
5075,[8],friendly guys   fitted quickly and efficently
5076,"[3, 10]",good choice of tyres  great prices easy to organise and local 
5077,"[0, 2]",i thought the site was easy to use  great choice and ratings of products were clear  i addition to this i found the choice of products to be good value for money  especially when you buy 2 and get more money off 
5078,"[2, 8]",easy to use website and tyres fitted quickly 
5079,[11],thanks for the perfect service got the tyres fitted at a centre with professional fitting staff
5080,[8],efficient service at the garage that i used
5081,[9],delayed tyre and still charged full price and delivery
5082,[7],easy to order and prices are fairly competitive 
5083,[4],good service in the past but now no facility to phone to get advice  the fitter i selected did not give appointments and worked on a first come first served basis  this wasn't a problem as it happens but could have been and i wasn't warned of this prior to placing the order  also the fitter fitted one tyre incorrectly which i had to get rectified on a second visit
5084,[0],good service and value 
5085,[0],very good value for money
5086,[4],resolved issues with wrong tires sent out v quickly thanks again alex
5087,"[2, 3]",the range of choice and pricing  both for actual tyres and fitting  the mobile fitter was excellent 
5088,"[1, 9]",customer service very poor
5089,[7],in and out in 20 minutes  great seevice
5090,"[0, 10]",quick  easy and prices was a saving
5091,"[3, 10]",excellent price and slick service
5092,"[0, 11]",easy to arrange and cheapest quote
5093,[2],easy to use website the garage we went to was excellent
5094,[4],bad fitter experience  in fairness the review is based on the fitters ats who put the tyre on backwards which caused an mot failure  thankfully quickly resolved by the mot garage but extra £20 which negated the  saving 
5095,"[1, 3]",brilliant service  excellent price  thank you 
5096,[7],quick  efficient and in a location convenient to me despite being 240miles away from home
5097,[10],prompt delivery
5098,[3],i chose bc on price but then the service proved to be excellent 
5099,[1],reasonable price and fast service
5100,[7],great price and sevice polite staff  easy online ordering and good communication
5101,[2],easy to use and book an appointment  great price 
5102,"[1, 8]",great service  hassle free  great prices osbourne motors fitted my tyres another 5 star experience from them 
5103,[3],flawless experience at a good price
5104,[5],good priced premium brand tyre
5105,[10],good price  easy to arrange  good fitter
5106,"[0, 4]",excellent value  only minor gripe was that the fitting company left wheels very dirty
5107,"[2, 7]",ease of ordering  very competitive pricing and vast amount of local garages available 
5108,"[3, 10]",good price and no problems at the chosen garage
5109,None,best prices i found great communication  i made a mistake on the tyres i ordered when i went to local garage for fitting     1 phone call all changed to correct types and no extra charge for collecting and re- delivery   great service will use again  
5110,"[4, 7]",not so much  itself but some of the fitting centres can be a bit poor in terms of service and that is part of the whole process 
5111,[2],would recommend  easy-to-use website best prices that you will find and very convenient with a lot of local garages to choose from
5112,"[7, 11]",no problems whatsoever  saved £200 on garage quote for genuine pirelli tyres for the jag
5113,"[6, 8]",i found the whole experience quick professional and competitively priced 
5114,"[1, 9]",your recent failure to deliver and initial indifference and incompetence of your customer service
5115,[0],good value and service 
5116,[0],a quick and easy way to buy tyres at a good price 
5117,[1],quick  cheap  reliable service
5118,"[2, 10]",great prices  and really good service if you choose the right fitting centre 
5119,[2],website was easy to use  plenty of choices of tyres and garages to fit them  appointment at the garage went like clock work 
5120,[10],good prices and local fitting
5121,[9],in the past i have had good service  however this last time was not good  my booking was cancelled the day before it was due because my tyres “went missing” i was then offered another booking 2 days later  the day i was traveling to france  i rang your service number a few times to see if my tyres had been found  in the end they turned up 25 minutes before 12 on the friday  the whole thing was very stressful 
5122,"[7, 9]",competitive prices  tyres delivered on time to fitting centre  unfortunately  the booking for fitting was not registered on their system - i assume this was their responsibility  fitting time delayed by 1 5 hrs 
5123,"[7, 11]",i looked on line for the tyres that i wanted   they had a offer of 10% discount  i ordered them online and 3days later had them fitted at a garage near to where i live 
5124,[2],best price available  easy to use site and service from garage was excellent 
5125,"[4, 9]",delivery failures which were avoidable  we had to wait over an hour past fitment time and when they’d remove the front tyres they discovered one of the new ones had been damaged in transit so they old tyre had to go back on followed by another 2 day wait  things like this can happen but it has put me off using this route  ultimately why wasn’t the tyre checked on delivery and couldn’t we have been told the pre-booked time was unachievable in advance  this two thins would’ve mitigated the sour taste now left 
5126,"[3, 5]",good price and reliable and convenient fitting 
5127,"[2, 9]",convenience  would choose a different fitting centre next time though 
5128,[2],efficient  price  information and accuracy of tyres available in order to make a viable choice 
5129,"[5, 11]",i love using   its so easy to use and the tyres to compare online are so diverse and broad  i only ever go for the same tyres but its always worth a look at the deals and also the prices of better brands 
5130,[4],hi  the fitting of the two front tyres fitted to my car as ordered  but  my computer stated that the tyres where under inflated and the dust caps on the valves were missing i had to re inflate to the correct pressures also  i went back to the fitter who stated that their systems were calibrated i think that this was a sloppy operation and should not happen on such a mundane task sending vehicles out on to the highway in such a maner could end in a tragedy 
5131,[1],great service and very proactive support
5132,[6],excellent in every regard  a  ahmed
5133,"[4, 11]",super  turned up on time when doing mobile fitting  nice guy and the price overall was cheaper than anywhere else  will definitely use again 
5134,[1],great service from the guys at purley nr reading
5135,[7],so easy  just order tyres then choose from the list of local garages to get them fitted  excellent service and very reasonable prices 
5136,[7],competitive prices  easy to order & arrange fitting at a time that suited me  perfect 
5137,[10],good price  good service 
5138,[1],great prices and great service
5139,"[1, 5, 10]",good prices and more convenient great service
5140,[1],great value for money and a top notch customer services team  i have used  many times and saved lots of money  last time the ats garage i chose to fit my tyres let me down but the  customer service team sorted out everything for me  i won't go back to ats but i'll always trust  
5141,"[4, 10]",good prices service and on time  in fact early  ray your fitter nice bloke very quick and thorough thanks 
5142,"[7, 10]",straight forward to organise and use  local garage which was also helpful
5143,"[6, 10]",amazinglŷ fast  efficient and reasonably priced service  will certainly use  in future  l  croll  alloa  scotland 
5144,[0],good value
5145,[1],excellent service and very competitive prices
5146,"[2, 11]",tyres  excellent website easy to use  no extra hard sell 
